raw,result
Abscess - left lower conjunctiva,Brain abscess
Acute Left Skin infection - ear,Creutzfeldt-Jakob disease
Viral URTI,Aseptic meningitis
Refill,Non-Match
Vaginal discharge,Vulvovaginal candidiasis
"""Fever, prolonged""",Endocarditis: Coxiella burnetii
Bilateral Hearing aid,Human immunodeficiency virus infection
Right Ganglion foot,Diabetic foot infection
Left Tonsillitis,"Surgical prophylaxis, dental / maxillofacial procedure"
Onychomycosis,Onychomycosis
Vulval lesion,Non-Match
Herpes Simplex genitalis,Recurrent benign lymphocytic meningitis
Referral letter,Non-Match
Migraine with aura,Prevention of infection in patients with cirrhosis and gastrointestinal bleeding
STD fear,Mycoplasma genitalium
Fibromyalgia,Non-Match
"""Warts, genital""",Anogenital warts
Left Paronychia,"Surgical prophylaxis, dental / maxillofacial procedure"
malar rash,Malaria prophylaxis
Mycoplasma genitalium cervicitis,Mycoplasma genitalium
Folliculitis,Folliculitis
Acute  Submandibular space infection,Creutzfeldt-Jakob disease
Ischio-rectal abscess,Perianal / anorectal abscess
Bacteuria,Non-Match
Wound care,Compound or open fracture
Acute Left Otitis media,Creutzfeldt-Jakob disease
"""Moderate, Acute Bilateral Barotrauma to ear""",Compound or open fracture
"""Sebaceous cyst, infected? - early""",Infected sebaceous cyst
Follow up,Bacterial prophylaxis following lung transplant
Glandular fever ?,Epstein-Barr virus
Rash,Nappy rash
Nose pain,"Acute otitis externa, diffuse"
Areolar gland blockage,Meibomian abscess / chalazion
Skin lesion,Perianal fistula
Chronic Bilateral Tinnitus,Free-living amoeba infection
Right Otitis externa,"Acute otitis externa, diffuse"
Tenesmus,Non-Match
Hair loss,Head lice
Malaria prophylaxis,Malaria prophylaxis
"""Acute UTI, recurrent""",Creutzfeldt-Jakob disease
Furuncle,Stye
Check up,Bacterial meningitis: Group B Streptococcus
Wrist injury,Corneal abrasion
Streptococcal pharyngitis,Bacterial meningitis: Streptococcus pneumoniae
Right Stye,Stye
HSV2 Infection,Recurrent benign lymphocytic meningitis
Genital herpes type 1,Bacterial vaginosis
Lower Respiratory Tract Infection,Bronchiolitis
Vrial infection,Septic bursitis
Shingles ?,Herpes (varicella) zoster virus keratitis
Conjunctivitis,Bacterial conjunctivitis
Hypertension,Non-Match
Bilateral Conjunctivitis,Bacterial conjunctivitis
"""Bilateral Sinusitis, maxillary""",Chronic sinusitis
"""Moderate, Acute Folliculitis""",Compound or open fracture
Chronic Balanitis,Free-living amoeba infection
Chlamydia Infection,Trachoma (chronic Chlamydial conjunctivitis)
